"SYS.STBR-NAME","ACCT-NO","REFERENCE NUMBER","VC-NUMBER-CAT","VENDORCUSTOMER NAME","POST-DATE-CAT","TIME-DR","GL-DESC","RECID","REF-NO","SLS-GRS-PFT-CAT","JRNL-DATE","RO-NO","SRC","UDF.SOURCE DESCRIPTION"
"Honda of Concord","1260A","VWW64946",888176,"HENDRICK VOLKSWAGEN OF CONCORD","06/16/25","08:23","P & A HONDA CARS",190931,"VWW64946",,"06/16/25",4946,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","CHW209507-3",888169,"HENDRICK CHRYSLER DODGE JEEP RAM FI","06/16/25","08:24","P & A HONDA CARS",190932,"CHW209507-3",,"06/16/25","09507-3",9,"GENERAL PURCHASES"
"Honda of Concord","1260A","K1W103870-3",888175,"HENDRICK KIA CONCORD","06/16/25","08:24","P & A HONDA CARS",190934,"K1W103870-3",,"06/16/25","03870-3",9,"GENERAL PURCHASES"
"Honda of Concord","1260A","K1W103864",888175,"HENDRICK KIA CONCORD","06/16/25","08:24","P & A HONDA CARS",190935,"K1W103864",,"06/16/25",03864,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","K1W103967",888175,"HENDRICK KIA CONCORD","06/16/25","08:25","P & A HONDA CARS",190936,"K1W103967",,"06/16/25",03967,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","K1W103981",888175,"HENDRICK KIA CONCORD","06/16/25","08:25","P & A HONDA CARS",190937,"K1W103981",,"06/16/25",03981,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",21750,1346,"JOHNSON VOLVO CARS CHARLOTTE","06/16/25","08:25","P & A HONDA CARS",190938,21750,,"06/16/25",0,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","K1W103983",888175,"HENDRICK KIA CONCORD","06/16/25","08:26","P & A HONDA CARS",190941,"K1W103983",,"06/16/25",03983,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","K1W103956",888175,"HENDRICK KIA CONCORD","06/16/25","08:27","P & A HONDA CARS",190942,"K1W103956",,"06/16/25",03956,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",166535002,30818,"LKQ SALISBURY","06/16/25","08:59","P & A HONDA CARS",191079,166535002,,"06/16/25",35002,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395416,195895,"NAPA AUTO PARTS","06/16/25","09:01","P & A HONDA CARS",191087,395416,,"06/16/25",16,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395415,195895,"NAPA AUTO PARTS","06/16/25","09:01","P & A HONDA CARS",191089,395415,,"06/16/25",15,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",6586516484241,196106,"ADVANCE AUTO PARTS","06/16/25","09:02","P & A HONDA CARS",191091,6586516484241,,"06/16/25",516484241,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395390,195895,"NAPA AUTO PARTS","06/16/25","09:02","P & A HONDA CARS",191094,395390,,"06/16/25",90,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395387,195895,"NAPA AUTO PARTS","06/16/25","09:03","P & A HONDA CARS",191095,395387,,"06/16/25",87,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395308,195895,"NAPA AUTO PARTS","06/16/25","09:03","P & A HONDA CARS",191096,395308,,"06/16/25",08,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395283,195895,"NAPA AUTO PARTS","06/16/25","09:04","P & A HONDA CARS",191100,395283,,"06/16/25",83,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395311,195895,"NAPA AUTO PARTS","06/16/25","09:04","P & A HONDA CARS",191104,395311,,"06/16/25",11,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",319605,1071,"BEAVER'S HONDA CAR SALVAGE","06/16/25","09:05","P & A HONDA CARS",191112,319605,,"06/16/25",05,9,"GENERAL PURCHASES"
"Honda of Concord","1260A","X4711780",1086,"KEYSTONE AUTOMOTIVE-CHARLOTTE","06/16/25","09:06","P & A HONDA CARS",191116,"X4711780",,"06/16/25",1780,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395309,195895,"NAPA AUTO PARTS","06/16/25","09:06","P & A HONDA CARS",191118,395309,,"06/16/25",09,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395155,195895,"NAPA AUTO PARTS","06/16/25","09:07","P & A HONDA CARS",191119,395155,,"06/16/25",55,9,"GENERAL PURCHASES"
"Honda of Concord","1260A",395156,195895,"NAPA AUTO PARTS","06/16/25","09:07","P & A HONDA CARS",191120,395156,,"06/16/25",56,9,"GENERAL PURCHASES"
