"SYS.STBR-NAME","PART#","PTS MK NAME","DESC","BASE-COST","NEW CORE PARTS","QOH","STAT","LAST SLS","LAST-RECV-DATE","SRC","BIN1","BIN2","COST","LIST","OLD PARTS NUMBER","CORE-QTY","GRP","ASSORTMENT-CLASS","STAT","UDF.EXT NEW CORE APP","NUMBER OF UNITS PER PKG","DIRTY CORE PARTS","BIN FOR DIRTY CORE"
"Honda of Concord","HP00279-BLK16-01","HONDA","0W16 OE TOYOTA",4.00,0.00,28,,"06/14/25","05/14/25",9,304,,4.00,7.07,,,,,,0,1,0.00,304
"Honda of Concord","HP00X31-TPG-1000","HONDA","STICKER, FUSE UPDATE",0.04,0.00,5,,"06/05/25","07/20/24",6,121,,0.04,0.07,,,87533,,,0,1,0.00,121
"Honda of Concord","HP01465-TX6-A03","HONDA","HOSE SET, L. FR.",25.91,0.00,1,"NS","03/06/25","03/06/25",6,134,,25.91,43.18,"HP01465-TX6-A02",,01464,,"NS",0,1,0.00,134
"Honda of Concord","HP01466-3A0-A00","HONDA","HOSE SET, R. RR.",29.33,0.00,1,"AP","12/28/23","11/24/23",6,"221A",,29.33,48.88,,,46430,,"AP",0,1,0.00,"221A"
"Honda of Concord","HP04110-SWA-305","HONDA","BULB (T10X31) (8W)",5.25,0.00,7,,"06/12/25","05/08/25",4,"195C",,5.25,8.75,"HP34253-671-003",,78180,,,0,10,0.00,"195C"
"Honda of Concord","HP04301-RNA-307","HONDA","BELT KIT",36.85,0.00,2,,"05/21/25","05/22/25",5,"100H",,36.85,61.42,,0,56992,,,0,1,0.00,"100H"
"Honda of Concord","HP04320-TE0-B00","HONDA","PIGTAIL (1.25)",9.04,0.00,10,"NS","03/26/25","03/20/25",6,"190A",,9.04,15.07,,,04320,,"NS",0,10,0.00,"190A"
"Honda of Concord","HP04321-TE0-305","HONDA","CONNECTOR (2P 110F)",21.46,0.00,2,,"03/26/25","03/20/25",8,"194F",,21.46,35.77,,,04320,,,0,1,0.00,"194F"
"Honda of Concord","HP04323-SP0-A11","HONDA","JOINT (1.25)",56.40,0.00,1,"NS","03/26/25","03/20/25",6,"190A",,56.40,94.00,"HP04323-SP0-A10",,04320,,"NS",0,1,0.00,"190A"
"Honda of Concord","HP04513-SZA-020","HONDA","SET, FR. (LOWER)",327.41,0.00,1,,"05/29/25","05/30/25",5,102,,327.41,545.68,,,91450,,,0,1,0.00,102
