SYS.STBR-NAME,PART#,RICHARD ROBINSON,DESC,Best Parts Inc,ROBERT THOMAS,QOH,STAT,MARK GREEN,LAST-RECV-DATE,SRC,BIN1,BIN2,Central Supply,LIST,SARAH BROWN,Great Supply Inc,GRP,ASSORTMENT-CLASS,STAT,Central Supply,THOMAS LEE,MIKE JOHNSON,NANCY ALLEN
Delta Dealer,HP00279-BLK16-01,City Cars,Kind Motors,4.00,0.00,28,,06/14/25,05/14/25,9,304,,4.00,7.07,,,,,,0,1,0.00,304
Delta Dealer,HP00X31-TPG-1000,City Cars,"STICKER, FUSE UPDATE",0.04,0.00,5,,06/05/25,07/20/24,6,121,,0.04,0.07,,,87533,,,0,1,0.00,121
Delta Dealer,HP01465-TX6-A03,City Cars,"HOSE SET, L. FR.",25.91,0.00,1,NS,03/06/25,03/06/25,6,134,,25.91,43.18,HP01465-TX6-A02,,01464,,NS,0,1,0.00,134
Delta Dealer,HP01466-3A0-A00,City Cars,"HOSE SET, R. RR.",29.33,0.00,1,AP,12/28/23,11/24/23,6,221A,,29.33,48.88,,,46430,,AP,0,1,0.00,221A
Delta Dealer,HP04110-SWA-305,City Cars,BULB (T10X31) (8W),5.25,0.00,7,,06/12/25,05/08/25,4,195C,,5.25,8.75,HP34253-671-003,,78180,,,0,10,0.00,195C
Delta Dealer,HP04301-RNA-307,City Cars,NANCY ALLEN,36.85,0.00,2,,05/21/25,05/22/25,5,100H,,36.85,61.42,,0,56992,,,0,1,0.00,100H
Delta Dealer,HP04320-TE0-B00,City Cars,PIGTAIL (1.25),9.04,0.00,10,NS,03/26/25,03/20/25,6,190A,,9.04,15.07,,,04320,,NS,0,10,0.00,190A
Delta Dealer,HP04321-TE0-305,City Cars,Prime Parts Ltd,21.46,0.00,2,,03/26/25,03/20/25,8,194F,,21.46,35.77,,,04320,,,0,1,0.00,194F
Delta Dealer,HP04323-SP0-A11,City Cars,JOINT (1.25),56.40,0.00,1,NS,03/26/25,03/20/25,6,190A,,56.40,94.00,HP04323-SP0-A10,,04320,,NS,0,1,0.00,190A
Delta Dealer,HP04513-SZA-020,City Cars,"SET, FR. (LOWER)",327.41,0.00,1,,05/29/25,05/30/25,5,102,,327.41,545.68,,,91450,,,0,1,0.00,102
Delta Dealer,HP04571-T2F-L01,City Cars,"MODULATOR ASSY., VSA",1513.77,0.00,1,AP,04/23/25,08/24/24,6,117,,"1,513.77","2,522.95","HP57110-T2F-L01
HP57110-T2F-L02",,57110,,AP,0,1,0.00,117
Delta Dealer,HP04571-T2F-X11,City Cars,"MODULATOR ASSY., VSA",1514.97,0.00,1,AP,04/16/24,10/30/24,6,117,,"1,514.97","2,524.95",HP57110-T2F-X13,,57110,,AP,0,1,0.00,117
Delta Dealer,HP04571-T2G-A01,City Cars,"MODULATOR ASSY., VSA",1513.77,0.00,1,AP,02/28/25,03/01/25,6,117,,"1,513.77","2,522.95",HP57110-T2G-A07,,57110,,AP,0,1,0.00,117
Delta Dealer,HP04616-T2F-A00ZZ,City Cars,"PLATE SET, L. FR.",102.22,0.00,1,AP,12/27/24,11/14/24,6,156,,102.22,170.37,HP04616-T2A-A00ZZ,,60910,,AP,0,1,0.00,156
Delta Dealer,HP04642-STX-A00ZZ,City Cars,WHEELHOUSE SUB-SET,139.71,0.00,1,NS,03/11/25,02/12/25,6,161,,139.71,232.85,,,60600,,NS,0,1,0.00,161
Delta Dealer,HP04656-TLA-A00ZZ,City Cars,"FLANGE SET, R. RR.",15.85,0.00,1,,04/18/25,04/19/25,5,157,,15.85,26.42,,,04999,,,0,1,0.00,157
Delta Dealer,HP04711-3A0-A00ZZ,City Cars,"FACE, FR. BUMPER",185.95,0.00,2,,06/06/25,06/07/25,6,SPORD,DAMAGE,185.95,309.92,,,71101,,,0,1,0.00,JAMES GARCIA
Delta Dealer,HP04711-T2A-A90ZZ,City Cars,"FACE, FR. BMPR (DOT)",307.08,0.00,1,,05/27/25,05/23/25,6,563RT,,307.08,511.80,HP71101-T2A-A00ZZ,,71101,,,0,1,0.00,563RT
Delta Dealer,HP04711-THR-A00ZZ,City Cars,"FACE, FR. BUMPER",366.54,0.00,1,,06/16/25,06/13/25,6,SPORD,,366.54,610.90,,,71101,,,0,1,0.00,SPORD
Delta Dealer,HP04711-TK8-A91ZZ,City Cars,"FACE, FR. BMPR (DOT)",487.88,0.00,1,AP,01/30/25,01/30/25,6,735B,,487.88,813.13,HP71101-TK8-A00ZZ,0,71101,,AP,0,1,0.00,735B
Delta Dealer,HP04712-SWA-A92,City Cars,"FACE, FR. BMPR (DOT)",110.89,0.00,1,AP,04/07/25,04/05/25,6,740B,,110.89,184.82,,,71101,,AP,0,1,0.00,740B
Delta Dealer,HP04712-TLA-A00ZZ,City Cars,"FACE, R. RR. BUMPER",151.13,0.00,1,,06/04/25,06/04/25,5,553C,,151.13,251.88,,,71501,,,0,1,0.00,553C
Delta Dealer,HP04715-S5A-A91ZZ,City Cars,"FACE, RR. BMPR (DOT)",257.61,0.00,1,AP,12/03/24,10/05/24,6,739B,,257.61,429.35,HP71501-S5A-010ZZ,,71501,,AP,0,1,0.00,739B
Delta Dealer,HP04715-SNA-A90ZZ,City Cars,"FACE, RR. BMPR (DOT)",250.25,0.00,1,AP,06/09/25,06/07/25,6,740B,,250.25,417.08,,,71501,,AP,0,1,0.00,740B
Delta Dealer,HP04715-T20-A00ZZ,City Cars,"FACE, RR. BUMPER",401.23,0.00,1,,06/06/25,06/07/25,6,SPORD,DAMAGE,401.23,668.72,,,71501,,,0,1,0.00,JAMES GARCIA
Delta Dealer,HP04715-T47-A00ZZ,City Cars,"FACE, RR. BUMPER",194.74,0.00,1,AP,04/18/25,04/19/25,6,739B,,194.74,324.57,,,71501,,AP,0,1,0.00,739B
Delta Dealer,HP04715-TA1-A91ZZ,City Cars,"FACE, RR. BMPR (DOT)",316.60,0.00,1,AP,12/14/23,12/06/23,6,739B,,316.60,527.67,HP04715-TA1-A90ZZ,,71501,,AP,0,1,0.00,739B
Delta Dealer,HP04715-TGG-A00ZZ,City Cars,"FACE, RR. BUMPER",229.23,0.00,1,,06/04/25,05/22/25,6,736B,,229.23,382.05,,,71501,,,0,1,0.00,736B
Delta Dealer,HP04716-TR3-A90,City Cars,"FACE, RR. BMPR (DOT)",100.93,0.00,2,AP,05/13/24,11/10/23,8,551A,,100.93,168.22,,,76220,,AP,0,1,0.00,551A
Delta Dealer,HP04718-3A0-A00ZZ,City Cars,"FACE, L. RR. BUMPER",123.96,0.00,1,,04/24/25,04/19/25,6,553E,,123.96,206.60,HP04718-T95-A00ZZ,,71501,,,0,1,0.00,553E
Delta Dealer,HP04770-S5A-405,City Cars,Central Supply,63.09,0.00,1,,05/15/25,04/03/25,6,110,,63.09,88.36,,,06999,,,0,1,0.00,110
Delta Dealer,HP04770-S9A-409,City Cars,Central Supply,63.09,0.00,2,AP,,04/16/25,6,110,,63.09,88.36,HP04770-S9A-405,,06999,,AP,0,1,0.00,110
Delta Dealer,HP04790-S0X-315,City Cars,Central Supply,60.40,0.00,1,NS,,01/18/25,6,110,,60.40,92.92,,,06999,,NS,0,1,0.00,110
Delta Dealer,HP04790-S5A-318,City Cars,Central Supply,60.40,0.00,1,,05/01/25,04/29/25,6,110,,60.40,92.92,,,06999,,,0,1,0.00,110
Delta Dealer,HP04790-S9V-315,City Cars,Central Supply,60.40,0.00,2,AP,06/12/25,04/16/25,6,110,,60.40,92.92,,,06999,,AP,0,1,0.00,110
Delta Dealer,HP04790-SCV-318,City Cars,Central Supply,60.40,0.00,1,NS,,12/17/24,6,110,,60.40,92.92,,,06999,,NS,0,1,0.00,110
Delta Dealer,HP04790-SNA-407,City Cars,Central Supply,60.40,0.00,2,,12/18/24,05/01/25,6,110,,60.40,92.92,,,06999,,,0,1,0.00,110
Delta Dealer,HP04790-TM8-A00,City Cars,Central Supply,60.40,0.00,1,AP,01/17/24,01/17/24,6,110,,60.40,92.92,,,06999,,AP,0,1,0.00,110
Delta Dealer,HP04810-SB3-000,City Cars,C-CLIP SET,8.71,0.00,2,,06/05/25,06/06/25,4,190A,,8.71,14.52,HP81239-S0X-A01,0,90600,,,0,1,0.00,190A
Delta Dealer,HP04813-SWA-A00ZB,City Cars,BUCKLE SET *NH642L*,202.11,0.00,1,AP,11/10/23,09/12/23,6,106,,202.11,336.85,,,81455,,AP,0,1,0.00,106
Delta Dealer,HP04813-T90-A40ZA,City Cars,BUCKLE SET *NH900L*,58.60,0.00,1,AP,07/30/24,07/31/24,6,106,,58.60,97.67,,,81455,,AP,0,1,0.00,106
