SYS.STBR-NAME,MAKE,DTL-6,DTL-CAT,TRANS-DATE,DOROTHY HILL,TRANS #,PART #,DESC,Ideal Components,TRANS-TYPE,TRANS-QTY,Central Supply,SALE,SRC-CAT,USER-ID,INV-NO,BIN1-DR,ADV-NO,CTRMN,CUST-NO,CUST-PO,PART-NO
Delta Dealer,HP,,,06/16/25,13:06,520-11966,01553-2DR9A,CLIP,IO,SLS,15,0.74,1.13,6,141328DMILLE,FAKE_1,,112803,296430,596705,,HP01553-2DR9A
Delta Dealer,HP,,,06/16/25,13:30,520-13558,TINT2,TINT,,SLS,1,15.00,51.00,19,101255JMCMAH,FAKE_2,TINT,451708,161529,999006,,HPTINT2
Delta Dealer,PK,,,06/16/25,13:31,520-16766,FAKE_1,,,SLS,1,0.00,0.00,,143825NISAAC,FAKE_3,,136057,143825,25716,,PKSAE020
Delta Dealer,HP, ,  BY     P,06/16/25,05:57,520-17011,04715-TXM-A90ZZ,"FACE, RR. BMPR (DOT)",,SLS,1,158.33,179.44,6,25957CHAGLER,463569,SPORD,,206,1502,18011682,HP04715-TXM-A90ZZ
Delta Dealer,HP, ,  AY     P,06/16/25,12:12,520-31305,06160-RLV-305,"INJECTOR KIT, FUEL",,RV,-1,225.00,474.50,1,145747FUMANA,FAKE_4,121,145747,143702,596836,,HP06160-RLV-305
Delta Dealer,HP, ,  AY     P,06/16/25,08:59,520-31553,31500-SR1-100M,*31500-SR1-100MS,,RV,-1,109.16,173.27,55,144007SDAVIS,FAKE_5,RACK,571852,143702,219757,,HP31500-SR1-100M
Delta Dealer,HP, ,+ Z      P,06/16/25,11:27,520-32822,82631-TK8-A01,"CABLE A, L. RR.",,ADD,0,43.92,,6,18927THELMS,,SPORD,,,,,HP82631-TK8-A01
Delta Dealer,HP, ,  AY     P,06/16/25,10:10,520-34867,74142-T20-A11,"RUBBER, HOOD SEAL",,SLS,1,19.99,26.76,4,141331JCUARE,463642,177,,141331,164886,,HP74142-T20-A11
Delta Dealer,HP, ,  AY     P,06/16/25,07:44,520-34870,60211-TLA-A00ZZ,"PANEL, R. FR. FENDER",,SLS,1,118.30,128.00,6,141331JCUARE,463578,564D,,141331,7407,STARNES,HP60211-TLA-A00ZZ
Delta Dealer,HP, ,  BY     P,06/16/25,07:17,520-35168,71290-3W0-A00,"BEAM, L. FR. (UPPER)",CO,PUR,1,66.11,,6,HOCPBC,S0230613,SPORD,,,,,HP71290-3W0-A00
Delta Dealer,HP,,,06/16/25,07:17,520-35205,FA2056016,THOMAS LEE,NO,PUR,4,85.11,,11,HOCPBC,494045SO,1TIR7B,,,,,HPFA2056016
