"SYS.STBR-NAME","INV#","OPEN-DATE","CLOSE DATE","PART #","ACCT-MK","DESC","QSHP","QORD","EXT-COST","CORE","SRC"
"Honda of Concord","463324-1","06/06/25","06/16/25","HP71200-T43-A01","HO","GRILLE ASSY., FR.",1,1,114.88,,6
"Honda of Concord","463461-1","06/10/25","06/16/25","HP68100-TGS-A02ZZ","HO","TAILGATE",1,1,"1,007.32",,6
"Honda of Concord","463528-1","06/12/25","06/16/25","HP33550-TLA-406","HO","TAILLIGHT ASSY., L",1,1,371.42,,6
"Honda of Concord","463532-1","06/12/25","06/16/25","HP71800-T0G-A01","HO","GARNISH ASSY., R.",1,1,93.35,,6
"Honda of Concord",463560,"06/12/25","06/16/25","HP44017-TR0-A11","HO","BOOT SET, INBOARD",1,1,35.03,,6
"Honda of Concord",463568,"06/13/25","06/16/25","HP71593-TA0-A00","HO","SPACER, R. RR.",1,1,6.62,,5
"Honda of Concord",463568,"06/13/25","06/16/25","HP74401-TA5-A00","HO","TAPE, R.",1,1,3.41,,8
"Honda of Concord",463568,"06/13/25","06/16/25","HP52350-TA0-A00","HO","ARM B, RR. (LOWER)",1,1,78.12,,6
"Honda of Concord",463568,"06/13/25","06/16/25","HP52370-TA0-A00","HO","ARM A, R. RR.",1,1,68.71,,6
"Honda of Concord",463569,"06/13/25","06/16/25","HP04715-TXM-A90ZZ","HO","FACE, RR. BMPR (DOT)",1,1,158.33,,6
"Honda of Concord",463569,"06/13/25","06/16/25","HP75722-TXM-A01","HO","EMBLEM, RR.",1,1,22.81,,6
"Honda of Concord",463569,"06/13/25","06/16/25","HP75700-TF0-000","HO","EMBLEM",1,1,24.22,,5
"Honda of Concord","463571-1","06/13/25","06/16/25","HP71677-T20-A00","HO","FRAME, L. RR. BUMPER",1,1,4.28,,6
"Honda of Concord","463571-1","06/13/25","06/16/25","HP71591-T20-A00","HO","GARNISH, L. RR.",1,1,9.68,,5
"Honda of Concord",463578,"06/13/25","06/16/25","HP60211-TLA-A00ZZ","HO","PANEL, R. FR. FENDER",1,1,118.30,,6
"Honda of Concord",463578,"06/13/25","06/16/25","HP74115-TLA-A02","HO","PROTECTOR, R. FR.",1,1,29.91,,2
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71240-3W0-A00","HO","BEAM, R. FR. (UPPER)",1,1,66.11,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71290-3W0-A00","HO","BEAM, L. FR. (UPPER)",1,1,66.11,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP33150-3W0-A02","HO","HEADLIGHT ASSY., L.",1,1,372.05,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71321-3W0-A00","HO","PLATE, FR. (UPPER)",1,1,30.74,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71325-3W0-A00","HO","PLATE, FR.",1,1,87.56,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71415-3W0-A00","HO","FRAME, R. FR.",1,1,10.81,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71417-T20-A00","HO","STAY, R. FR.",1,1,18.09,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71416-3W0-A00","HO","STAY, R. FR. (LOWER)",1,1,13.45,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71418-3W0-A00","HO","PATCH, FR. BULKHEAD",1,1,14.46,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP81460-TR3-A01","HO","ADJUSTER",1,1,40.58,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP04816-3W0-A60ZA","HO","BUCKLE SET *NH900L*",1,1,44.93,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP77930-3V0-B11","HO","SENSOR, FR. CRASH",1,1,25.12,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP77930-3V0-B21","HO","SENSOR, FR. CRASH",1,1,25.12,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP77960-3V0-A82","HO","SRS UNIT",1,1,322.65,,6
