"SYS.STBR-NAME","INV#","OPEN-DATE","PART #","UDF.PART-MAKE","VEH-MAKE-DR","QUANTITY SHIPPED","QUANTITY ORDERED","EXT-COST","CORE","SRC"
"Honda of Concord","443675-1","12/21/23","HP78501-T0A-A40ZA","HONDA PARTS",,0,1,0.00,,6
"Honda of Concord",452697,"08/23/24",,,,,,0.00,,
"Honda of Concord","453527-1","09/16/24","HP74895-TLA-A11","HONDA PARTS",,1,1,158.78,,6
"Honda of Concord","458151-1","01/22/25","HP84431-SCA-003ZD","HONDA PARTS",,1,1,144.41,,6
"Honda of Concord","459010-2","02/12/25","HP85056818","HONDA PARTS",,0,1,0.00,,6
"Honda of Concord","459060-1","02/13/25","HP81825-TR3-A01ZA","HONDA PARTS",,0,1,0.00,,6
"Honda of Concord","459572-1","02/28/25","HP85523443","HONDA PARTS",,1,1,60.26,,6
"Honda of Concord","459572-1","02/28/25","HPFOR-RO477171","HONDA PARTS",,1,1,0.00,,6
"Honda of Concord","459820-1","03/07/25","HP28900-RJ2-003","HONDA PARTS",,1,1,127.99,,6
"Honda of Concord","459949-1","03/11/25","HP90106-SR3-000","HONDA PARTS",,1,1,4.72,,6
"Honda of Concord","460322-1","03/20/25","HP71100-SJC-A51ZA","HONDA PARTS",,0,1,0.00,,6
"Honda of Concord","460368-1","03/21/25","HP11910-RX0-A00","HONDA PARTS",,0,1,0.00,,6
"Honda of Concord","460515-1","03/25/25","HP73111-TG7-A24","HONDA PARTS",,1,1,621.54,,6
"Honda of Concord","460515-1","03/25/25","HP73150-TG7-A01","HONDA PARTS",,1,1,6.87,,5
"Honda of Concord","460849-1","04/02/25","HP08L09-E09-101","HONDA PARTS",,1,1,175.10,,7
"Honda of Concord","460849-1","04/02/25","HP08L04-3BM-100","HONDA PARTS",,1,1,156.00,,7
"Honda of Concord","461277-1","04/14/25","HP90175-SEL-T81","HONDA PARTS",,1,1,3.32,,6
"Honda of Concord","461684-1","04/24/25","HP72910-T90-A01","HONDA PARTS",,1,1,42.59,,6
"Honda of Concord","461732-1","04/25/25","HP90601-5A2-A01","HONDA PARTS",,2,2,4.02,,6
"Honda of Concord","462035-1","05/05/25","HP32600-TK8-A04","HONDA PARTS",,0,1,0.00,,6
"Honda of Concord","462213-1","05/08/25","HP95701-08016-08","HONDA PARTS",,6,6,6.36,,4
"Honda of Concord","462245-1","05/08/25","HP07AAC-001A101","HONDA PARTS",,1,1,18.10,,6
"Honda of Concord","462471-2","05/15/25","HP52300-T91-A01","HONDA PARTS",,1,1,102.70,,6
"Honda of Concord","462495-2","05/15/25","HP83552-SJC-A42ZD","HONDA PARTS",,1,1,123.30,,6
"Honda of Concord","463170-1","06/03/25","HP72921-T2A-A01","HONDA PARTS",,1,1,111.52,,5
"Honda of Concord","463199-1","06/03/25","HP73150-T3L-A01","HONDA PARTS",,1,1,5.45,,6
"Honda of Concord","463199-1","06/03/25","HP73111-T3L-A41","HONDA PARTS",,1,1,652.31,,6
"Honda of Concord","463273-1","06/05/25","HP67950-T2F-A02ZZ","HONDA PARTS",,1,1,24.58,,6
"Honda of Concord","463273-1","06/05/25","HP67960-T2F-A01ZZ","HONDA PARTS",,1,1,24.58,,6
"Honda of Concord","463427-1","06/10/25","HP16450-RCJ-A01","HONDA PARTS",,1,1,245.65,,6
"Honda of Concord","463445-1","06/10/25","HP06170-THR-306","HONDA PARTS",,1,1,34.41,,6
"Honda of Concord","463450-1","06/10/25","HP91610-SZH-003","HONDA PARTS",,1,1,2.35,,6
"Honda of Concord",463455,"06/10/25","HP71123-TA0-A01","HONDA PARTS",,1,1,16.70,,8
"Honda of Concord",463464,"06/10/25","HP30520-64S-005","HONDA PARTS",,0,1,0.00,,6
"Honda of Concord","463501-1","06/11/25","HP71102-SJC-A00","HONDA PARTS",,1,1,28.39,,6
"Honda of Concord",463512,"06/11/25","HP90172-STX-A00","HONDA PARTS",,0,1,0.00,,6
"Honda of Concord",463562,"06/12/25","HPA1159","HONDA PARTS",,12,12,17.88,,39
"Honda of Concord",463562,"06/12/25","HP4800","HONDA PARTS",,36,36,91.80,,39
"Honda of Concord",463562,"06/12/25","HP4800","HONDA PARTS",,36,36,91.80,,39
"Honda of Concord",463562,"06/12/25","HPA1159","HONDA PARTS",,72,72,107.28,,39
"Honda of Concord",463562,"06/12/25","HP4800","HONDA PARTS",,12,12,30.60,,39
"Honda of Concord",463562,"06/12/25","HP72148-SLJ-000","HONDA PARTS",,1,1,3.60,,12
"Honda of Concord",463562,"06/12/25","HP4800","HONDA PARTS",,24,24,61.20,,39
"Honda of Concord",463562,"06/12/25","HPA1159","HONDA PARTS",,24,24,35.76,,39
"Honda of Concord",463562,"06/12/25","HP90105-TBA-A00","HONDA PARTS",,2,2,2.44,,1
"Honda of Concord",463562,"06/12/25","HP08718-0004","HONDA PARTS",,1,1,8.60,,9
"Honda of Concord",463562,"06/12/25","HP72544-THR-A11","HONDA PARTS",,1,1,67.44,,6
"Honda of Concord",463566,"06/12/25","HP71411-TLA-A81","HONDA PARTS",,0,1,0.00,,6
"Honda of Concord",463584,"06/13/25","HP12341-5A2-A01","HONDA PARTS",,0,20,0.00,,1
